symbol,name,sector,industry,country,market_cap,exchange,currency
06S.F,"Sportsman's Warehouse Holdings, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",United States,Small Cap,FRA,EUR
0A43.L,"Inovio Pharmaceuticals, Inc.",Health Care,Biotechnology,United States,Small Cap,LSE,USD
0A4B.L,"AgEagle Aerial Systems, Inc.",Industrials,Aerospace & Defense,United States,Small Cap,LSE,USD
0A4F.L,"Ideanomics, Inc.",Information Technology,Software,United States,Small Cap,LSE,USD
0A4T.L,Tonix Pharmaceuticals Holding Corp.,Health Care,Biotechnology,United States,Small Cap,LSE,USD
0C1.F,"ATRECA, INC.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
0CG.F,"Chegg, Inc.",Consumer Staples,Household Products,United States,Large Cap,FRA,EUR
0F1.F,"NanoString Technologies, Inc.",Health Care,Health Care Equipment & Supplies,United States,Mid Cap,FRA,EUR
0HX7.L,"Adicet Bio, Inc.",Health Care,Biotechnology,United States,Small Cap,LSE,USD
0IFM.L,eGain Corporation,Information Technology,Software,United States,Small Cap,LSE,USD
0JVN.F,"iBio, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,
0JW.F,"JELD-WEN Holding, Inc.",Industrials,Building Products,United States,Mid Cap,FRA,EUR
0K17.L,"MicroVision, Inc.",Information Technology,"Electronic Equipment, Instruments & Components",United States,Mid Cap,LSE,USD
0M2A.L,Xperi Holding Corporation,Information Technology,Semiconductors & Semiconductor Equipment,United States,Mid Cap,LSE,USD
0M4.F,"Mersana Therapeutics, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
0NU.SG,Nutanix Inc. Reg. Shares CL A o,Information Technology,,United States,Small Cap,STU,EUR
0PB.F,"Puma Biotechnology, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
0PQ.F,ProQR Therapeutics N.V.,Health Care,Biotechnology,Netherlands,Small Cap,FRA,EUR
0R0V.L,SunPower Corporation,Information Technology,"Technology Hardware, Storage & Peripherals",United States,Mid Cap,LSE,USD
0WF.F,"SmileDirectClub, Inc.",Health Care,Health Care Technology,United States,Mid Cap,FRA,EUR
0Z2.F,"Alector, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
1521.HK,Frontage Holdings Corporation,Health Care,Biotechnology,United States,Small Cap,HKG,HKD
16U.F,"Upland Software, Inc.",Information Technology,Software,United States,Small Cap,FRA,EUR
1FG.F,"FibroGen, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
1N7.F,Nevro Corp.,Health Care,Health Care Technology,United States,Mid Cap,FRA,EUR
1ON.F,"Domo, Inc. Class B",Information Technology,Software,United States,Small Cap,FRA,EUR
1P6.F,Berry Corporation,Energy,"Oil, Gas & Consumable Fuels",United States,Small Cap,FRA,EUR
1S7.F,"Selecta Biosciences, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
1S9.F,"Seres Therapeutics, Inc.",Health Care,Biotechnology,United States,Mid Cap,FRA,EUR
1WO.F,Workhorse Group Inc.,Consumer Discretionary,Automobiles,United States,Small Cap,FRA,EUR
1XV.F,Axway Software SA,Information Technology,Software,United States,Small Cap,FRA,EUR
21J.F,"Jounce Therapeutics, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
25K.F,Karyopharm Therapeutics Inc.,Health Care,Biotechnology,United States,Small Cap,FRA,EUR
2BN.F,"Barnes & Noble Education, Inc.",Consumer Discretionary,Specialty Retail,United States,Small Cap,FRA,EUR
2BV.F,Brightcove Inc.,Information Technology,Software,United States,Small Cap,FRA,EUR
2CX.F,"ChemoCentryx, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
2HA.F,"Spero Therapeutics, Inc.",Health Care,Biotechnology,United States,Small Cap,FRA,EUR
