PACKAGE             VERSION      LICENSE                                             SOURCE              VERDICT
------------------  -----------  --------------------------------------------------  ------------------  ------------------------
beautifulsoup4      4.15.0       MIT                                                 License             OK
certifi             2026.6.17    MPL-2.0                                             License             EXCEPTION (journaled S1)
cffi                2.1.0        MIT-0                                               License-Expression  OK
charset-normalizer  3.4.9        MIT                                                 License             OK
colorama            0.4.6        BSD-3-Clause                                        Classifier          OK
contourpy           1.3.3        BSD-3-Clause                                        Classifier          OK
curl_cffi           0.15.0       MIT                                                 License-Expression  OK
cycler              0.12.1       BSD-3-Clause                                        Classifier          OK
fonttools           4.63.0       MIT                                                 License             OK
idna                3.18         BSD-3-Clause                                        License-Expression  OK
iniconfig           2.3.0        MIT                                                 License-Expression  OK
kiwisolver          1.5.0        BSD-3-Clause                                        Classifier          OK
markdown-it-py      4.2.0        MIT                                                 Classifier          OK
matplotlib          3.11.0       PSF-2.0                                             Classifier          OK
mdurl               0.1.2        MIT                                                 Classifier          OK
multitasking        0.0.13       Apache-2.0                                          Classifier          OK
numpy               2.5.1        BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0  License-Expression  OK
packaging           26.2         Apache-2.0 OR BSD-2-Clause                          License-Expression  OK
pandas              3.0.3        BSD-3-Clause                                        Classifier          OK
peewee              4.1.1        (no license metadata)                               missing             EXCEPTION (journaled S1)
pillow              12.3.0       MIT-CMU                                             License-Expression  OK
platformdirs        4.10.0       MIT                                                 License-Expression  OK
pluggy              1.6.0        MIT                                                 License             OK
protobuf            7.35.1       BSD-3-Clause                                        License             OK
pycparser           3.0          BSD-3-Clause                                        License-Expression  OK
Pygments            2.20.0       BSD-2-Clause                                        License-Expression  OK
pyparsing           3.3.2        MIT                                                 License-Expression  OK
pytest              9.1.1        MIT                                                 License-Expression  OK
python-dateutil     2.9.0.post0  BSD-3-Clause AND Apache-2.0                         Classifier          OK
pytz                2026.2       MIT                                                 License             OK
quantstats          0.0.81       Apache-2.0                                          License-Expression  OK
requests            2.34.2       Apache-2.0                                          License             OK
rich                15.0.0       MIT                                                 License             OK
scipy               1.18.0       BSD-3-Clause                                        Classifier          OK
seaborn             0.13.2       BSD-3-Clause                                        Classifier          OK
six                 1.17.0       MIT                                                 License             OK
soupsieve           2.8.4        MIT                                                 License-Expression  OK
stock-agentcy       0.1.0        (first-party)                                       -                   SELF
tabulate            0.10.0       MIT                                                 License-Expression  OK
typing_extensions   4.16.0       PSF-2.0                                             License-Expression  OK
tzdata              2026.2       Apache-2.0                                          License             OK
urllib3             2.7.0        MIT                                                 License-Expression  OK
websockets          16.0         BSD-3-Clause                                        License-Expression  OK
yfinance            1.5.1        Apache-2.0                                          Classifier          OK

LICENSE GATE: clean -- 41 allowed, 2 journaled exception(s).
